Summary,Description,Custom field (Epic Link),Component/s,Component/s
Ruteberegning av rekkverk,"Se vedlagt SOSI. Denne stedfestes i Datafangst gjennom Skriv/Les. Her er to utvalgte rekkverk med observasjoner.
h2. KURVE 3

Her går rekkverket langs en veglenkesekvens som man forventer den stedfestet til. Men muligens er ene enden nærmere en annen veglenkesekvens som gjør at stedfestingen ser litt ""unødvendig ut"". Se skjermbilde KURVE3.png vedlagt som viser ruteberegningen fra [https://nvdb-vegdata.github.io/nvdb-visrute/ATM/]

Resultat: [ 0.0-0.66325399@805009, 0.73497357-1.0@805010 ]

POST [https://nvdbapiskriv.test.atlas.vegvesen.no/rest/v3/stedfest]
{noformat}
<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><stedfest xmlns=""http://nvdb.vegvesen.no/apiskriv/domain/changeset/v3""><parametere><maksimalAvstandTilVeg>300</maksimalAvstandTilVeg><veger><veg><kategori>R</kategori><fase>V</fase><nummer>555</nummer></veg></veger><typeVeger><typeVeg>KANALISERT_VEG</typeVeg><typeVeg>ENKEL_BILVEG</typeVeg><typeVeg>RAMPE</typeVeg><typeVeg>RUNDKJØRING</typeVeg><typeVeg>GATETUN</typeVeg></typeVeger><beregnSideposisjon>true</beregnSideposisjon></parametere><vegobjekter><vegobjekt typeId=""5"" tempId=""e67748ae-ea03-40c0-8b45-4fdcc317ee69""><egenskaper><egenskap typeId=""4714""><geometri><srid>25833</srid><wkt>LINESTRING (-32323.43 6733673.33 0, -32320.38 6733670.95 0, -32318.4 6733667.91 0, -32316.55 6733665.26 0, -32314.96 6733661.82 0, -32314.3 6733658.12 0, -32314.030000000002 6733654.41 0, -32314.43 6733650.98 0, -32315.36 6733647.54 0, -32316.68 6733643.3 0, -32327.66 6733634.7 0, -32337.05 6733626.7700000005 0)</wkt><referansegeometri>false</referansegeometri><kvalitet><målemetode>45</målemetode><målemetodeHøyde>-1</målemetodeHøyde><nøyaktighet>100</nøyaktighet><nøyaktighetHøyde>0</nøyaktighetHøyde><synbarhet>0</synbarhet></kvalitet></geometri></egenskap></egenskaper><gyldighetsperiode><startdato>2021-01-15</startdato></gyldighetsperiode></vegobjekt></vegobjekter></stedfest>
{noformat}
POST [https://nvdbapiles-v3.test.atlas.vegvesen.no/beta/vegnett/rute]
{noformat}
{""start"":null,""slutt"":null,""geometri"":""LINESTRING (-32323.43 6733673.33, -32314.96 6733661.82, -32315.36 6733647.54, -32316.68 6733643.3, -32337.05 6733626.77)"",""maks_avstand"":300,""omkrets"":100,""konnekteringslenker"":true,""detaljerte_lenker"":false,""vegsystemreferanse"":""RV555"",""trafikantgruppe"":null,""typeveg"":""kanalisertVeg,enkelBilveg,rampe,rundkjøring,gatetun"",""tidspunkt_start"":""2021-01-15"",""tidspunkt_slutt"":null,""pretty"":false,""kortform"":false,""behold_trafikantgruppe"":true}
{noformat}
*Ny stedfesting med forankring gjennom Skriv*

Skriv har innført elementet <forankring> som spesifiserer start- og sluttpunkt i kallet mot /rute i stedet for å oppgi geometri. Ved å bruke denne så blir stedfestingen bra. Se vedlagte bilde KURVE3_medForankring.png.

POST [https://nvdbapiskriv.test.atlas.vegvesen.no/rest/v3/stedfest]
{noformat}
<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><stedfest xmlns=""http://nvdb.vegvesen.no/apiskriv/domain/changeset/v3""><parametere><maksimalAvstandTilVeg>300</maksimalAvstandTilVeg><forankring><srid>5973</srid><startWkt>POINT (-32328.88597080266 6733667.570919707)</startWkt><sluttWkt>POINT (-32340.303678489945 6733629.524711821)</sluttWkt></forankring><veger><veg><kategori>R</kategori><fase>V</fase><nummer>555</nummer></veg></veger><typeVeger><typeVeg>KANALISERT_VEG</typeVeg><typeVeg>ENKEL_BILVEG</typeVeg><typeVeg>RAMPE</typeVeg><typeVeg>RUNDKJØRING</typeVeg><typeVeg>GATETUN</typeVeg></typeVeger><beregnSideposisjon>true</beregnSideposisjon></parametere><vegobjekter><vegobjekt typeId=""5"" tempId=""e67748ae-ea03-40c0-8b45-4fdcc317ee69""><egenskaper><egenskap typeId=""4714""><geometri><srid>25833</srid><wkt>LINESTRING (-32323.43 6733673.33 0, -32320.38 6733670.95 0, -32318.4 6733667.91 0, -32316.55 6733665.26 0, -32314.96 6733661.82 0, -32314.3 6733658.12 0, -32314.030000000002 6733654.41 0, -32314.43 6733650.98 0, -32315.36 6733647.54 0, -32316.68 6733643.3 0, -32327.66 6733634.7 0, -32337.05 6733626.7700000005 0)</wkt><referansegeometri>false</referansegeometri><kvalitet><målemetode>45</målemetode><målemetodeHøyde>-1</målemetodeHøyde><nøyaktighet>100</nøyaktighet><nøyaktighetHøyde>0</nøyaktighetHøyde><synbarhet>0</synbarhet></kvalitet></geometri></egenskap></egenskaper><gyldighetsperiode><startdato>2021-01-15</startdato></gyldighetsperiode></vegobjekt></vegobjekter></stedfest>
{noformat}
POST [https://nvdbapiles-v3.test.atlas.vegvesen.no/beta/vegnett/rute]
{noformat}
{""start"":""-32328.88597080266,6733667.570919707"",""slutt"":""-32340.303678489945,6733629.524711821"",""geometri"":null,""maks_avstand"":300,""omkrets"":100,""konnekteringslenker"":true,""detaljerte_lenker"":false,""vegsystemreferanse"":""RV555"",""trafikantgruppe"":null,""typeveg"":""kanalisertVeg,enkelBilveg,rampe,rundkjøring,gatetun"",""tidspunkt_start"":""2021-01-15"",""tidspunkt_slutt"":null,""pretty"":false,""kortform"":false,""behold_trafikantgruppe"":true}
{noformat}
*Spørsmål:*

Hvorfor får man ikke den ""pene"" stedfestingen man oppnår ved å bruke start- og sluttpunkt mot /rute når man i stedet benytter geometri mot /rute?

 
h2. KURVE 5

Her går rekkverket langs en veglenke i hele dens utstrekning. Stedfesting gjennom Skriv/Les klarer ikke å finne en stedfesting gjennom Datafangst.

POST [https://nvdbapiskriv.test.atlas.vegvesen.no/rest/v3/stedfest]
{noformat}
<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><stedfest xmlns=""http://nvdb.vegvesen.no/apiskriv/domain/changeset/v3""><parametere><maksimalAvstandTilVeg>300</maksimalAvstandTilVeg><veger><veg><kategori>R</kategori><fase>V</fase><nummer>555</nummer></veg></veger><typeVeger><typeVeg>GANG_OG_SYKKELVEG</typeVeg><typeVeg>SYKKELVEG</typeVeg><typeVeg>GANGVEG</typeVeg><typeVeg>GÅGATE</typeVeg><typeVeg>FORTAU</typeVeg><typeVeg>TRAPP</typeVeg><typeVeg>GANGFELT</typeVeg></typeVeger><beregnSideposisjon>true</beregnSideposisjon></parametere><vegobjekter><vegobjekt typeId=""5"" tempId=""b538230e-ac04-4844-bc53-a2a7b344e47d""><egenskaper><egenskap typeId=""4714""><geometri><srid>25833</srid><wkt>LINESTRING (-32350.940000000002 6733581.26 0, -32356.5 6733576.49 0, -32360.600000000002 6733572.66 0, -32365.23 6733568.43 0, -32370.920000000002 6733562.87 0, -32376.74 6733556.92 0, -32383.88 6733549.24 0, -32391.16 6733541.57 0, -32401.48 6733530.72 0, -32417.350000000002 6733513.79 0, -32445.530000000002 6733483.76 0, -32471.33 6733456.51 0, -32511.54 6733413.25 0, -32523.190000000002 6733401.08 0, -32545.54 6733377.79 0, -32567.24 6733354.38 0, -32593.96 6733326.33 0, -32615.260000000002 6733303.71 0, -32637.88 6733279.76 0, -32644.23 6733274.08 0)</wkt><referansegeometri>false</referansegeometri><kvalitet><målemetode>45</målemetode><målemetodeHøyde>-1</målemetodeHøyde><nøyaktighet>100</nøyaktighet><nøyaktighetHøyde>0</nøyaktighetHøyde><synbarhet>0</synbarhet></kvalitet></geometri></egenskap></egenskaper><gyldighetsperiode><startdato>2021-01-18</startdato></gyldighetsperiode></vegobjekt></vegobjekter></stedfest>
{noformat}
Skriv forenkler geometrien til:

POST [https://nvdbapiles-v3.test.atlas.vegvesen.no/beta/vegnett/rute]
{noformat}
{""start"":null,""slutt"":null,""geometri"":""LINESTRING (-32350.94 6733581.26, -32644.23 6733274.08)"",""maks_avstand"":300,""omkrets"":100,""konnekteringslenker"":true,""detaljerte_lenker"":false,""vegsystemreferanse"":""RV555"",""trafikantgruppe"":null,""typeveg"":""gangOgSykkelveg,sykkelveg,gangveg,gågate,fortau,trapp,gangfelt"",""tidspunkt_start"":""2021-01-18"",""tidspunkt_slutt"":null,""pretty"":false,""kortform"":false,""behold_trafikantgruppe"":true}{noformat}
Her blir ingen rute funnet.

*Ny stedfesting med forankring gjennom Skriv*

Dersom vi, som over, benytter <forankring> mot Skriv - som da benytter start- og sluttpunkt i kallet mot /rute i stedet for å oppgi geometri, så går følgende kall - *og* vi få en fin rute tilbake.

POST [https://nvdbapiskriv.test.atlas.vegvesen.no/rest/v3/stedfest]
{noformat}
<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><stedfest xmlns=""http://nvdb.vegvesen.no/apiskriv/domain/changeset/v3""><parametere><maksimalAvstandTilVeg>300</maksimalAvstandTilVeg><forankring><srid>5973</srid><startWkt>POINT (-32349.59 6733580.2)</startWkt><sluttWkt>POINT (-32643.32670927604 6733273.268868647)</sluttWkt></forankring><veger><veg><kategori>R</kategori><fase>V</fase><nummer>555</nummer></veg></veger><typeVeger><typeVeg>GANG_OG_SYKKELVEG</typeVeg><typeVeg>SYKKELVEG</typeVeg><typeVeg>GANGVEG</typeVeg><typeVeg>GÅGATE</typeVeg><typeVeg>FORTAU</typeVeg><typeVeg>TRAPP</typeVeg><typeVeg>GANGFELT</typeVeg></typeVeger><beregnSideposisjon>true</beregnSideposisjon></parametere><vegobjekter><vegobjekt typeId=""5"" tempId=""b538230e-ac04-4844-bc53-a2a7b344e47d""><egenskaper><egenskap typeId=""4714""><geometri><srid>25833</srid><wkt>LINESTRING (-32350.940000000002 6733581.26 0, -32356.5 6733576.49 0, -32360.600000000002 6733572.66 0, -32365.23 6733568.43 0, -32370.920000000002 6733562.87 0, -32376.74 6733556.92 0, -32383.88 6733549.24 0, -32391.16 6733541.57 0, -32401.48 6733530.72 0, -32417.350000000002 6733513.79 0, -32445.530000000002 6733483.76 0, -32471.33 6733456.51 0, -32511.54 6733413.25 0, -32523.190000000002 6733401.08 0, -32545.54 6733377.79 0, -32567.24 6733354.38 0, -32593.96 6733326.33 0, -32615.260000000002 6733303.71 0, -32637.88 6733279.76 0, -32644.23 6733274.08 0)</wkt><referansegeometri>false</referansegeometri><kvalitet><målemetode>45</målemetode><målemetodeHøyde>-1</målemetodeHøyde><nøyaktighet>100</nøyaktighet><nøyaktighetHøyde>0</nøyaktighetHøyde><synbarhet>0</synbarhet></kvalitet></geometri></egenskap></egenskaper><gyldighetsperiode><startdato>2021-01-18</startdato></gyldighetsperiode></vegobjekt></vegobjekter></stedfest>
{noformat}
POST [https://nvdbapiles-v3.test.atlas.vegvesen.no/beta/vegnett/rute]
{noformat}
{""start"":""-32349.59,6733580.2"",""slutt"":""-32643.32670927604,6733273.268868647"",""geometri"":null,""maks_avstand"":300,""omkrets"":100,""konnekteringslenker"":true,""detaljerte_lenker"":false,""vegsystemreferanse"":""RV555"",""trafikantgruppe"":null,""typeveg"":""gangOgSykkelveg,sykkelveg,gangveg,gågate,fortau,trapp,gangfelt"",""tidspunkt_start"":""2021-01-18"",""tidspunkt_slutt"":null,""pretty"":false,""kortform"":false,""behold_trafikantgruppe"":true}
{noformat}
*Spørsmål:*

Hvorfor får man stedfesting ved å bruke start- og sluttpunkt mot /rute, men ikke når man benytter geometri? I dette tilfellet burde vel også bruk av geometri finne rute?

 

 ",NVDB-6937,Les-API,
Fjern aktivitetslogging i NVDBIND V3,"NVDB-5113 deaktiverte bare opprydding, NVDBIND lagrer ennå til database.
Fjern dette.",NVDB-6937,NVDB-IND,
Rydding i hvordan Solr-request bygges,"-[532/980977947/1|https://nvdbapiles-v3.atlas.vegvesen.no/vegobjekter/532/980977947/1] (startdato: 2019-10-03) er stedfestet på 0.60568412-0.60620364@885116. 
[https://nvdbapiles-v3.atlas.vegvesen.no/vegobjekter/580/777263582/4| 1815 Helgeland sør 2017-2032 (777263582 v3) (2020-08-31-2020-11-04)] er også stedfestet her.
Men 
[https://nvdbapiles-v3.atlas.vegvesen.no/vegobjekter/580/777263582/4| 1815 Helgeland sør 2017-2032 (777263582 v4) (2020-11-04)] er ikke stedfestet her. 

532/980977947/1 er beriket med «1815 Helgeland sør 2017-2032». Siden siste versjon av dette kontraktsområdet ikke er stedfestet samme sted som dette vegreferanseobjektet er det nok ikke korrekt å berike «hovedobjektet»(docType:objekt i Solr) med dette kontraktsområdet. -

Det ser ut som den opprinnelige saken skyldes at kontrakt er oppdatert, og objekter ikke er oppdatert. Så det som er beskrevet er ikke reproduserbart etter reindeksering.

Så denne endringen teste ved å kjøre full regresjonstest. Alt skal fungere som før. 
Det som er endret er at det er ryddet i hvordan Solrspørringer genereres. Slik at det er lettere å skjønne hva som skjer for /vegobjekter/X og /vegobjekter/X/statistikk med og uten segmentering aktivert.",NVDB-6937,NVDB-IND,
Migrere til Cypress 6.0,Cypress har kommet med versjon 6.0 (siste 6.2.1). I den forbindelse må noen av funksjonene (cy.request) migreres til nye funksjoner (cy.intercept) da de utgående etterhvert ikke vil støttes.,NVDB-6937,Vegkart,
Fra 1.8.2021 - Automatisk populere vegnummer i Vegsystem (915),"h2. Bakgrunn

Det store volumet når det gjelder vedlikehold av vegnettet for Kartverket er endringer og innleggelse av PV i NVDB, deriblant tildele unikt, ledig nummer for disse vegene. I dag gjøres dette parallelt i to vegreferansesystemer.

Dagens funksjonalitet for håndtering av dette på en effektiv måte, er funksjonalitet i NP/Vegnettseditoren basert på 532 Vegreferanse. 532 Vegreferanse vil fra 01.08.2021 ikke lengre ajourholdes og alle gyldige 532 objekt i NVDB, vil få satt en sluttdato. Dermed så vil dagens funksjonalitet måtte kodes om/endres.

Vegnettsgruppa og Kartverket har vurdert at den mest smidige og ikke minst fremtidsrettede løsningen, vil være funksjonalitet i SKRIV for tildeling av vegnummer for PV.

Gitt avvikling av 532 Vegreferanse 1.8.2020 så må løsningen som lages nå, fungere frem til dette skjer. Her vil man kunne benytte seg av 532 Vegreferanse – dette objektet legges på av Quadri/Vegnettseditoren og skal vedlikeholdes frem til avvikling. Viktig at det er samsvar med 915 Vegsystem frem til 01.08.
 Med kun noen måneder igjen, anses det lite hensiktsmessig å innføre ny arbeidsmetodikk rundt dette og vi ser for oss at SKRIV kan hente info. om vegnummer fra 532 Vegreferanse, som også sikrer samsvar mellom dem.

 

Det nevnt ovenfor ble utredet i saken denne er klonet fra. NVDB-6382

 

Etter 01.08.2021 skal NVDB API Skriv ikke lengre populere vegnummer ved å hente fra Vegreferanse (532), men populere via et løpenummer:
 * Nå vil vi ikke lengre ha gyldige 532 Vegreferanse å hente info fra, disse er lukket. Men, endringssettet vil kunne ha 915 Vegsystem uten nummer.
 * Her ønskes kort fortalt en funksjon i SKRIV som tildeler nummer på PV, som er unikt innenfor en kommune. Skal tildele første ledige nummer etter 99999 (nedadgående) på de objektene som mangler dette i endringssettet. Dersom neste ledige løpenummer allerede er i bruk, skal neste nummer prøves. Eventuelle ledige ""hull"" i nummersekvensen kan brukes.
 * Her må det finnes andre løsninger enn 532 Vegreferanse for å kunne hente ut info som trengs for å kunne tildele ledige, unike nummer på PV. F. eks. på 38 nye PV`er i et gitt endringssett.",NVDB-6937,Skriv-API,
Tillate sammenkobling til barn importert fra NVDB,"Hvis man importerer både mor og datter fra NVDB, så hindrer vi automatisk sammenkoblinger mellom disse typene.

Denne hindringen kan fjernes, og saken må ses i forbindelse med NVDB-6055",NVDB-6937,Datafangst,
Leveranseinformasjon,"*Testes av SVV i ATM:*
 * NVDB-6424: Sjekk at geodata-kart vises på de ulike fanene
 * NVDB-6395: Verifiser at innloggingsdialog kun vises på ""test.vegvesen"" og ikke på ""-test.kantega""
 * NVDB-6140: Sjekk at vegobjekter listes riktig numerisk (stedfesting, sammenkobling, etc). Sjekk både nye (type PUNKT 1, PUNKT 2, PUNKT 10) og NVDB-id.
 * NVDB-6401: Verifiser at beskrivende navn vises i stedfestingsfanen om dette er togglet på. (eksempel er skiltplate)
 * NVDB-6379  Skrivefeil i feltkategori",NVDB-6937,Datafangst,
Tilpasse URL for Geodata-kart,"Karttjeneste for Geodata svarer ikke lengre på de URL'ene vi bruker, URL må tilpasses.

Ulike subdomener (brukt for at IE skal kunne laste flere samtidig) er ikke lengre i bruk, og gir HTTP 503.",NVDB-6937,Datafangst,
Inkludere konnekteringslenke og filtrere i etterkant,"h2. Bakgrunn

Saken går på at det er mange vegobjekter i Datafangst som ikke får stedfesting gjennom Skriv siden Les gir ingen rute tilbake når konnekteringslenker er satt til false. Gammel stedfesting for Datafangst ga konnekteringslenker tilbake s.a. Datafangst filtrerte selv i etterkant.

*Fra Mattermost* ([https://mattermost.kantega.no/svv/pl/8gbpzzoi77y1dpocdgr9qft4ro])

Har sett på noen vanskelige tilfeller av stedfesting med Skriv. Vedlagte SOSI (843_difficult.sos) er utdrag av større SOSI (843.sos) med noen vanskelige tilfeller. Manuell stedfesting med Skriv genererer følgende kall mot Les for utvalgte kurver. Problemet er generelt at det ikke finnes ruter. *MEN* om vi setter {{konnekteringslenker=true}} finnes det ruter (da med rutesegmenter som ikke er konnektering OG konnekteringslenker).

Gammel stedfesting finner stedfesting for alle. Er det ikke slik at vi for gammel stedfesting får konnekteringslenker, men filtrerer bort disse i Datafangst?

Hva tenker folk om å be om konnekteringslenker også for Datafangst og heller filtrere disse bort i Skriv/Datafangst etter at rute er oppnådd fra Les? Eksemplene her er typiske eksempler hvor det er veier som møtes. Alternativet her blir jo å stedfeste alle som går med Skriv og deretter velge gammel for de som ikke går. Alle 1018 objektene i 843.sos er tatt fra Prod og reflekterer reelle situasjoner vi helt sikkert kommer borti mange ganger.
 
{noformat}
KURVE 246 
{""geometri"":""LINESTRING (138553.42 6501292.32, 138554 6501288.68, 138546.53 6501278.28, 138489.17 6501242.18)"",""maks_avstand"":""300"",""konnekteringslenker"":false,""detaljerte_lenker"":false,""vegsystemreferanse"":""FV409"",""trafikantgruppe"":null,""typeveg"":""kanalisertVeg,enkelBilveg,rampe,rundkjøring,gatetun"",""tidspunkt_start"":""2020-11-13"",""tidspunkt_slutt"":null,""pretty"":false,""kortform"":false,""behold_trafikantgruppe"":true} 
--> Ikke funnet rute 
--> OK med konnekteringslenker 

KURVE 255 {""geometri"":""LINESTRING (138554.32 6501292.18, 138572.76 6501271.68)"",""maks_avstand"":""300"",""konnekteringslenker"":false,""detaljerte_lenker"":false,""vegsystemreferanse"":""FV409"",""trafikantgruppe"":null,""typeveg"":""kanalisertVeg,enkelBilveg,rampe,rundkjøring,gatetun"",""tidspunkt_start"":""2020-11-13"",""tidspunkt_slutt"":null,""pretty"":false,""kortform"":false,""behold_trafikantgruppe"":true} 
--> Ikke funnet rute 
--> OK med konnekteringslenker 

KURVE 258 {""geometri"":""LINESTRING (138568.71 6501250.91, 138562.89 6501231.29)"",""maks_avstand"":""300"",""konnekteringslenker"":false,""detaljerte_lenker"":false,""vegsystemreferanse"":""EV18"",""trafikantgruppe"":null,""typeveg"":""kanalisertVeg,enkelBilveg,rampe,rundkjøring,gatetun"",""tidspunkt_start"":""2020-11-13"",""tidspunkt_slutt"":null,""pretty"":false,""kortform"":false,""behold_trafikantgruppe"":true} 
--> Ikke funnet rute 
--> OK med konnekteringslenker 

KURVE 278 {""geometri"":""LINESTRING (138591.19 6501078.74, 138598.13 6501077.81, 138601.35 6501076.33, 138604.65 6501071.57)"",""maks_avstand"":""300"",""konnekteringslenker"":false,""detaljerte_lenker"":false,""vegsystemreferanse"":""EV18"",""trafikantgruppe"":null,""typeveg"":""kanalisertVeg,enkelBilveg,rampe,rundkjøring,gatetun"",""tidspunkt_start"":""2020-11-13"",""tidspunkt_slutt"":null,""pretty"":false,""kortform"":false,""behold_trafikantgruppe"":true} 
--> Ikke funnet rute 
--> OK med konnekteringslenker
{noformat}

*Kommentar fra Tore:*

Skriv anroper Les /rute med konnekteringsparameter=JA/NEI avhengig av om vegobjekttypen tillater det. Tanken var nok opprinnelig at Les da skulle foreta denne filtreringen, men det har jo runnet en del vann i Gaula siden da. Mulig Skriv skal sende konsekvent JA her og plukke ut konnekteringslenkene etterpå selv. Dermed blir det som i gammel DF-løsning.

h2. Analyse

Min kommentar ovenfor var nok litt forhastet. Stedfestingstjenesten bruker faktisk allerede strategien som angitt over. Årsaken til at det ikke fungerer som tenkt er at requesten til Les sin rutetjeneste påføres ""konnekteringslenker"": false når det ikke skal stedfestes på konnekteringslenker (punktstedfesting), mens det *ikke* angis ""konnekteringslenker"": true når det kan stedfestes på konnekteringslenker (strekningsstedfesting, med filtrering i etterkant).

h2. Løsning

Setter eksplisitt ""konnekteringslenker"" i requesten til Les, enten verdien fra RouteParams.isConnectingRefLinksAllowed() er true eller false",NVDB-6937,Skriv-API,
Migrere til Cypress 6.0,Cypress har kommet med versjon 6.0 (siste 6.2.1). I den forbindelse må noen av funksjonene (cy.request) migreres til nye funksjoner (cy.intercept) da de utgående etterhvert ikke vil støttes.,NVDB-6937,Datafangst,
Leveransesak - Vegkart V3 2021.2.0,"SVV tester i ATM
 * Gang- og sykkleveg mangler under gående og syklende. NVDB-6259
 * Legge til tekst og feilkode ved ""Ulykke""NVDB-6263
 * Link til support i feilmelding https://www.vegvesen.no/jira/browse/NVDB-6463
 * Vise startdato for objekt https://www.vegvesen.no/jira/browse/NVDB-6441
 * Søke på NVDB-ID https://www.vegvesen.no/jira/browse/NVDB-5809",NVDB-6937,Vegkart,
v2 returnerer forskjellig resultat med samme spørring,"Hei,

Det ser ut til at vi får forskjellige data når vi spør på det samme fra nvdbV2 , ser ut til at dette har startet engang i helgen.

Har vedlagt respons data vi får ved kall til [https://nvdbapiles-v2.atlas.vegvesen.no/vegobjekter]/\{id} 

Zip filen inneholder en katalog for alle spørringer med dato for hver gang vi gjør spørringer og det ser ut som vi får litt random resultat.

Filnanvnene er URL til tjeneste med parametere og med page nummer for de paginerte dataene ( : ,? og / er erstattet med _ )

f.eks for uthenting av vinterdriftsklasse returnerer kallet under 25 i metadata:

*20210111_152229*\https___nvdbapiles-v2.atlas.vegvesen.no_vegobjekter_*810*_antall=250&inkluder=vegsegmenter,egenskaper&kontraktsomrade=*1815 Helgeland sør 2017-2032*_page_*1*.json

mens denne har 21:

*20210111_152241*\https___nvdbapiles-v2.atlas.vegvesen.no_vegobjekter_*810*_antall=250&inkluder=vegsegmenter,egenskaper&kontraktsomrade=*1815 Helgeland sør 2017-2032*_page_*1*.json

Det virker som vi kan få forskjellige data vegobjekttypene vi spør på ( 106,532,540,577 og 810) mellom hvert kall, kan det ha skjedd noe med indekseringen her?

mvh

morten

<[Morten.Stenseth@norconsult.com|mailto:Morten.Stenseth@norconsult.com]>",NVDB-6937,Les-API,
Polling stopper ikke når alle er stedfestet,"h2. Observasjon

Når man laster inn en type og stedfester vil POST /rest/vegobjekt/<id>/autostedfest returnere > 0 (auto stedfesting), og polling med GET /antall stopper når denne blir 0.

Hvis man stedfester og godkjenner s.a. alle objektene er grønne så vil en påfølgende automatisk stedfesting (POST /rest/vegobjekt/<id>/autostedfest) returnere 0. Imidlertid så fortsetter GET /antall å polle selv om resultatet er 0. Stopper ikke før man refresher siden. Det hjelper ikke å gå bort fra stedfestingsfanen til en annen fane.",NVDB-6937,Datafangst,
Deassosiering fører til lukking av datter,"h2. Observasjon

Sinus har problem med sletting av assosiasjon.
I endringssett 25c402a2-2dd7-4859-a5a6-30a88ec1330d skulle assosiasjon til kum 83:842987759 slettast i obejektet 79:842988050, men heile kum-objektet var lukka.
Dette er i ATM. https://www.test.vegvesen.no/nvdb/apiskriv/kontrollpanel/#/jobs/view/25c402a2-2dd7-4859-a5a6-30a88ec1330d

h2. Analyse

Stikkrenne (79) har en assosiasjon til Kum (83) av type KOMPOSISJON (også kjent som ""sterk kobling""). Ved lukking av 79 vil derfor alle datterobjekter av type 83 lukkes på samme dato gjennom en kaskadeoperasjon. Skriv betrakter fjerning av denne assosiasjonen i en ny versjon av 79 som konseptuelt samme sak, at mor lukkes. Derfor utføres også lukking av 83 her. Kum har ikke styringsparameter ""må ha mor"" så den kunne forsåvidt overlevd i NVDB.

Trunkering av datterobjekt etter lukking av mor håndteres av TruncateDeassociatedFeaturesEnricherFilter.

h2. Løsning

I doFilter-metoden, rett etter anrop getParentsWithRemovedChildren: Tar ut assosiasjoner til datterobjekttyper som ikke krever mor via ny metode discardChildrenNotRequiringParent.",NVDB-6937,Skriv-API,
Avviser ikke overlapp ved korrigert gyldighetsperiode,"h2. Observasjon

Endringssett aaf8beff-396c-4bba-9622-7e6bff74078b korrigerer sluttdato på et Vegsystem-objekt som allerede overlapper med et annet i NVDB (datafeil). Det er fortsatt overlapp etter korrigert sluttdato, men endringssettet blir ikke avvist.

h2. Analyse

NVDB API Skriv utfører overlappskontroll for alle vegobjekttyper som ikke tillater overlapp iht styringsparameter i datakatalogen. Vegsystem (915) tillater ikke overlapp. For å få avvist et endringssett må det være overlapp både i tid og rom (stedfesting).
 
Et søk på det aktuelle vegobjektet i transaksjonsloggen (https://nvdbapiskriv.atlas.vegvesen.no/kontrollpanel/#/tasks/transactions?time=0&featureId=1011249727) viser følgende:
 
+5025354               2021-01-06 14:33:09       groknu+ 
 
Operasjon          ObjektId              Ver.       Startdato            Sluttdato
OPPDATERT       1011249727       1             1950-01-01         2020-10-04         
 
+5027004               2021-01-07 08:29:45       hansal+
 
Operasjon          ObjektId              Ver.       Startdato            Sluttdato
SLETTET               1011249727       1             1950-01-01         2020-10-04
 
Det er altså ingen innslag for etablering av vegobjektet. Jeg antar det skjedde via et SQL-script.
 
Oppdrag 5025354 stammer fra endringssett aaf8beff-396c-4bba-9622-7e6bff74078b. Her utføres delvis korrigering av Vegsystem-objektet. Eneste endring er oppdatering av gyldighetsperiode, antagelig er det bare sluttdato som settes for å lukke vegobjektet:
 
{code:xml}
<vegobjekt typeId=""915"" nvdbId=""1011249727"" versjon=""1"">
  <gyldighetsperiode>
    <startdato>1950-01-01</startdato>
    <sluttdato>2020-10-04</sluttdato>
  </gyldighetsperiode>
  <validering>
    <lestFraNvdb>2021-01-05T12:46:34</lestFraNvdb>
  </validering>
</vegobjekt>
{code}
 
Under behandling av endringssettet finner API Skriv korrekt at det er overlapp med et annet Vegsystem-objekt i NVDB med id 1011249729. Dette har identisk stedfesting og har gyldighetsperiode 2020-10-03 ->. Etter korrigering er det altså overlappende stedfesting mellom disse to på datoen 2020-10-04. Siden stedfestingen ikke berøres av korrigeringen velger API Skriv å neglisjere overlappet og i stedet logge dette som datafeil i NVDB:
 
https://loggsentralen.vegvesen.no/loggsentralen/en-GB/app/SVV_nvdb/search?q=search%20index%3Dsvvpnvdb%20host%3Dsvvptomcat25%20OR%20host%3Dsvvptomcat26%20NvdbDataErrorReporter%201011249727&display.page.search.mode=verbose&dispatch.sample_ratio=1&earliest=1609714800&latest=1610013623&sid=1610013826.1900086_C5996C14-FEA3-4A85-B277-7060A0DC991F
 
Det kan se ut som at brukeren her har forsøkt å rette datafeilen, men bommet på lukkedato med én dag.

h2. Løsning

Tar nå hensyn til om både stedfesting og gyldighetsperiode er endret ved overlappskontroll i NoOverlapsValidator. Endret navn på støttemetoden isUnchangedLocation til isUnchangedLocationAndLifetime og la inn kontroll på om gyldighetsperiode er endret. Tilsvarende endring ble også gjort i tvillingvalidatoren NoInterOverlapsValidator. Etter denne endringen blir det kun rapportert datafeil ved overlapp når både stedfesting og gyldighetsperiode er uendret av endringssettet.",NVDB-6937,Skriv-API,
V2 ser ut til å mangle vegnett,"https://gitter.im/nvdb-vegdata/api-les-v2?at=5ff856314498e01bbf953dd2
",NVDB-6937,NVDB-IND,
